System ID,TM3-TM4 open_fraction,TM3-TM4 open_fraction CI,TM3-TM4 mean_dist (Å),TM7-TM1 open_fraction,TM7-TM1 open_fraction CI,TM7-TM1 mean_dist (Å),TM4-TM5 open_fraction,TM4-TM5 open_fraction CI,TM4-TM5 mean_dist (Å),TM5-TM6 open_fraction,TM5-TM6 open_fraction CI,TM5-TM6 mean_dist (Å),TM1-TM2 open_fraction,TM1-TM2 open_fraction CI,TM1-TM2 mean_dist (Å),TM6-TM7 open_fraction,TM6-TM7 open_fraction CI,TM6-TM7 mean_dist (Å),TM2-TM3 open_fraction,TM2-TM3 open_fraction CI,TM2-TM3 mean_dist (Å)
Gs_7XV3,0.688,"[0.510,0.825]",12.49,0.643,"[0.570,0.695]",8.79,0.558,"[0.405,0.665]",3.73,0.422,"[0.320,0.620]",7.15,0.053,"[0.040,0.075]",7.47,0.003,"[0.000,0.005]",8.27,0.005,"[0.000,0.010]",5.58
Gs_7XZ5,0.912,"[0.880,0.945]",7.69,0.190,"[0.115,0.270]",7.21,0.077,"[0.065,0.085]",3.72,0.095,"[0.030,0.145]",7.06,0.075,"[0.045,0.100]",8.14,0.055,"[0.040,0.065]",8.62,0.000,"[0.000,0.000]",2.88
Gs_7Y3G,0.583,"[0.475,0.730]",7.22,0.370,"[0.255,0.505]",5.72,0.333,"[0.240,0.445]",2.97,0.067,"[0.020,0.130]",7.14,0.492,"[0.250,0.625]",8.32,0.145,"[0.055,0.230]",6.91,0.008,"[0.000,0.020]",1.78
Gs_8E3X,0.363,"[0.240,0.485]",9.66,0.000,"[0.000,0.000]",5.85,0.015,"[0.005,0.030]",3.17,0.052,"[0.015,0.115]",8.75,0.050,"[0.020,0.100]",7.53,0.378,"[0.220,0.565]",7.99,0.000,"[0.000,0.000]",3.54
Gs_8E3Y,0.452,"[0.360,0.515]",9.54,0.000,"[0.000,0.000]",6.49,0.083,"[0.005,0.215]",4.71,0.093,"[0.080,0.115]",9.07,0.050,"[0.050,0.050]",6.58,0.330,"[0.260,0.390]",9.37,0.000,"[0.000,0.000]",4.13
Gs_8F0J,0.327,"[0.310,0.340]",8.98,0.000,"[0.000,0.000]",8.68,0.015,"[0.000,0.045]",3.97,0.013,"[0.000,0.025]",6.49,0.008,"[0.005,0.010]",6.30,0.118,"[0.020,0.180]",10.01,0.000,"[0.000,0.000]",3.06
Gs_8F76,0.502,"[0.460,0.535]",8.88,0.848,"[0.830,0.865]",8.36,0.018,"[0.010,0.030]",6.26,0.077,"[0.005,0.190]",7.61,0.303,"[0.255,0.335]",8.92,0.465,"[0.315,0.580]",8.11,0.000,"[0.000,0.000]",7.49
Gs_8FU6,0.600,"[0.530,0.690]",9.29,0.000,"[0.000,0.000]",6.71,0.345,"[0.270,0.460]",5.84,0.363,"[0.105,0.565]",9.96,0.028,"[0.010,0.045]",7.36,0.413,"[0.210,0.585]",8.84,0.000,"[0.000,0.000]",3.76
Gs_8GY7,0.405,"[0.330,0.455]",9.83,0.163,"[0.070,0.240]",6.50,0.497,"[0.345,0.650]",6.47,0.055,"[0.020,0.095]",3.08,0.010,"[0.000,0.025]",7.40,0.048,"[0.025,0.070]",5.39,0.010,"[0.000,0.025]",3.48
Gs_8H4I,0.217,"[0.130,0.355]",8.55,0.322,"[0.175,0.435]",8.52,0.253,"[0.130,0.365]",6.04,0.232,"[0.130,0.285]",9.38,0.118,"[0.040,0.260]",8.78,0.182,"[0.005,0.455]",8.45,0.052,"[0.010,0.115]",4.51
Gs_8HDP,0.553,"[0.480,0.610]",10.41,0.475,"[0.210,0.680]",7.68,0.023,"[0.010,0.035]",4.01,0.170,"[0.060,0.280]",8.10,0.017,"[0.010,0.025]",8.37,0.090,"[0.050,0.135]",8.00,0.003,"[0.000,0.010]",3.81
Gs_8HJ1,0.575,"[0.530,0.605]",9.92,0.197,"[0.140,0.250]",7.93,0.127,"[0.115,0.140]",6.21,0.922,"[0.800,1.000]",10.83,0.012,"[0.000,0.030]",7.38,0.003,"[0.000,0.010]",9.17,0.003,"[0.000,0.010]",5.39
Gs_8HJ2,0.102,"[0.055,0.185]",4.78,0.572,"[0.500,0.625]",7.56,0.242,"[0.110,0.350]",6.50,0.642,"[0.625,0.665]",7.11,0.702,"[0.675,0.715]",10.48,0.378,"[0.155,0.765]",9.21,0.257,"[0.220,0.310]",6.88
Gs_8HNK,0.710,"[0.665,0.770]",10.60,0.112,"[0.070,0.190]",8.86,0.437,"[0.205,0.660]",6.49,0.098,"[0.035,0.130]",6.92,0.218,"[0.065,0.370]",7.94,0.150,"[0.000,0.430]",8.00,0.002,"[0.000,0.005]",5.17
Gs_8HTI,0.647,"[0.535,0.720]",8.29,0.513,"[0.325,0.780]",8.67,0.047,"[0.020,0.075]",4.18,0.825,"[0.655,0.930]",10.52,0.040,"[0.015,0.085]",8.91,0.508,"[0.145,0.795]",9.07,0.095,"[0.000,0.195]",8.15
Gs_8I2G,0.498,"[0.395,0.555]",9.96,0.110,"[0.010,0.165]",8.61,0.403,"[0.240,0.510]",7.08,0.095,"[0.085,0.100]",7.10,0.043,"[0.005,0.085]",6.99,0.875,"[0.760,0.965]",8.90,0.053,"[0.000,0.130]",4.66
Gs_8INR,0.128,"[0.090,0.150]",8.88,0.685,"[0.455,0.885]",8.10,0.258,"[0.235,0.280]",4.48,0.060,"[0.005,0.125]",6.22,0.565,"[0.320,0.760]",8.75,0.060,"[0.040,0.095]",7.82,0.000,"[0.000,0.000]",3.27
Gs_8IOC,0.590,"[0.580,0.600]",9.04,0.563,"[0.535,0.610]",5.95,0.490,"[0.420,0.550]",4.83,0.327,"[0.100,0.465]",8.85,0.285,"[0.275,0.300]",6.94,0.162,"[0.140,0.195]",7.15,0.053,"[0.000,0.095]",3.26
Gs_8IRV,0.717,"[0.650,0.790]",8.96,0.585,"[0.540,0.620]",10.29,0.102,"[0.075,0.135]",4.85,0.175,"[0.155,0.210]",8.90,0.292,"[0.225,0.345]",8.02,0.022,"[0.015,0.030]",8.12,0.002,"[0.000,0.005]",3.12
Gs_8JPP,0.872,"[0.785,0.925]",12.35,0.918,"[0.800,0.985]",10.22,0.555,"[0.475,0.650]",7.34,0.022,"[0.005,0.055]",8.63,0.470,"[0.055,0.745]",10.84,0.038,"[0.005,0.085]",8.29,0.002,"[0.000,0.005]",4.20
Gs_8KGK,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gs_8KH5,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gs_8SMV,0.162,"[0.140,0.185]",6.34,0.430,"[0.360,0.515]",7.83,0.033,"[0.015,0.065]",6.39,0.232,"[0.030,0.500]",7.92,0.135,"[0.000,0.380]",6.81,0.090,"[0.035,0.175]",7.45,0.000,"[0.000,0.000]",3.37
Gs_8U8F,0.862,"[0.835,0.905]",9.95,0.122,"[0.080,0.145]",5.10,0.557,"[0.470,0.650]",2.39,0.175,"[0.125,0.220]",6.33,0.125,"[0.055,0.260]",7.83,0.167,"[0.085,0.260]",7.90,0.000,"[0.000,0.000]",2.06
Gs_8W87,0.327,"[0.305,0.365]",7.77,0.447,"[0.325,0.645]",8.96,0.063,"[0.035,0.085]",3.22,0.302,"[0.250,0.365]",8.85,0.010,"[0.000,0.025]",7.09,0.040,"[0.005,0.095]",8.26,0.000,"[0.000,0.000]",2.14
Gs_8W8Q,0.365,"[0.325,0.420]",9.48,0.812,"[0.780,0.865]",8.69,0.160,"[0.100,0.215]",2.88,0.395,"[0.310,0.555]",6.42,0.230,"[0.130,0.330]",8.18,0.142,"[0.030,0.345]",7.25,0.002,"[0.000,0.005]",3.48
Gs_8WJX,0.470,"[0.405,0.520]",7.37,0.128,"[0.100,0.160]",9.38,0.067,"[0.060,0.075]",5.00,0.065,"[0.045,0.080]",7.62,0.033,"[0.000,0.085]",9.48,0.053,"[0.000,0.155]",7.25,0.002,"[0.000,0.005]",5.59
Gs_8X79,0.400,"[0.340,0.445]",8.17,0.413,"[0.345,0.480]",8.57,0.090,"[0.085,0.095]",2.63,0.202,"[0.180,0.230]",8.21,0.002,"[0.000,0.005]",7.75,0.025,"[0.000,0.075]",7.78,0.005,"[0.000,0.010]",3.90
Gs_8XVI,0.290,"[0.205,0.435]",8.82,0.680,"[0.670,0.695]",9.76,0.263,"[0.145,0.385]",3.65,0.045,"[0.020,0.090]",8.09,0.390,"[0.165,0.585]",9.99,0.057,"[0.045,0.065]",8.08,0.002,"[0.000,0.005]",5.28
Gs_8YN2,0.570,"[0.490,0.680]",9.53,0.197,"[0.110,0.305]",4.83,0.185,"[0.155,0.245]",3.61,0.173,"[0.150,0.190]",8.26,0.045,"[0.025,0.080]",6.79,0.013,"[0.010,0.020]",8.21,0.000,"[0.000,0.000]",1.98
Gs_8YUT,0.608,"[0.535,0.720]",7.54,0.423,"[0.340,0.505]",9.87,0.040,"[0.025,0.050]",2.40,0.165,"[0.110,0.265]",7.65,0.133,"[0.110,0.160]",6.80,0.203,"[0.130,0.310]",7.65,0.002,"[0.000,0.005]",2.29
Gs_8YUV,0.680,"[0.515,0.820]",10.44,0.745,"[0.620,0.850]",9.06,0.172,"[0.125,0.265]",3.92,0.393,"[0.165,0.645]",9.18,0.208,"[0.015,0.555]",9.05,0.158,"[0.045,0.310]",8.24,0.002,"[0.000,0.005]",2.33
Gs_9BLC,0.313,"[0.225,0.450]",9.53,0.000,"[0.000,0.000]",8.01,0.002,"[0.000,0.005]",3.84,0.143,"[0.105,0.195]",7.41,0.003,"[0.000,0.010]",6.30,0.330,"[0.195,0.490]",9.96,0.002,"[0.000,0.005]",3.31
